FOR_ING_ACT	DESCRIPCION_MANUAL	FUENTE_MANUAL	ESTADO_GOBERNANZA	ULTIMA_ACTUALIZACION
1	Ingreso Directo (regular)	Anexo 7 Cuadro N1 y Cuadro N3	VALIDADO_MANUAL_2026	2026-03-31
2	Continuidad de Plan Comun o Bachillerato	Anexo 7 Cuadro N1 y Cuadro N3	VALIDADO_MANUAL_2026	2026-03-31
3	Cambio Interno	Anexo 7 Cuadro N1 y Cuadro N3	VALIDADO_MANUAL_2026	2026-03-31
4	Cambio Externo	Anexo 7 Cuadro N1 y Cuadro N3	VALIDADO_MANUAL_2026	2026-03-31
5	Ingreso por Reconocimiento de Aprendizajes Previos	Anexo 7 Cuadro N1 y Cuadro N3	VALIDADO_MANUAL_2026	2026-03-31
6	Ingreso especial para estudiantes extranjeros	Anexo 7 Cuadro N1 y Cuadro N3	VALIDADO_MANUAL_2026	2026-03-31
7	Ingreso a traves del Programa PACE	Anexo 7 Cuadro N1 y Cuadro N3	VALIDADO_MANUAL_2026	2026-03-31
8	Ingreso a traves de Programas de Inclusion	Anexo 7 Cuadro N1 y Cuadro N3	VALIDADO_MANUAL_2026	2026-03-31
9	Acceso por caracteristicas especiales	Anexo 7 Cuadro N1 y Cuadro N3	VALIDADO_MANUAL_2026	2026-03-31
10	Otras formas de ingreso	Anexo 7 Cuadro N1 y Cuadro N3	VALIDADO_MANUAL_2026	2026-03-31
11	Articulacion de TNS a carrera profesional	Anexo 7 Cuadro N1 y Cuadro N3	VALIDADO_MANUAL_2026	2026-03-31
